name;selection
anteater;classics
bouldash;classics
bubbles;classics
digdug;classics
digdug2;classics
dommy;classics
dlair;classics
dynablst;classics
eyes;classics
foodf;classics
frogger;classics
gnbarich;classics
heiankyo;classics
indytemp;classics
journey;classics
jrpacman;classics
jumpbug;classics
ladybug;classics
llander;classics
mhavoc;classics
missile;classics
mtrap;classics
mrdo;classics
mspacman;classics
neobombe;classics
neomrdo;classics
nibbler;classics
pacmania;classics
paperboy;classics
pengo;classics
pepper2;classics
puckman;classics
rallyx;classics
rampart;classics
scregg;classics
todruaga;classics
tutankhm;classics
wow;classics
yiear;classics
;
;
;
;
;
;
;
;
;
;
;
